2001	Single cell RNA sequencing of multiple myeloma II	GPL16791	174	GSE110499	200110499	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110499/suppl/GSE110499_GEO_processed_MM_10X_raw_UMI_count_martix.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110499/suppl/GSE110499_GEO_processed_MM_raw_TPM_matrix.txt.gz
2003	Global hypomethylation mediated changes regulate constitutive PD-L1 expression in melanoma [RNA-Seq]	GPL16791	12	GSE107620	200107620	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107620/suppl/GSE107620_PDL1_IND_CON_FPKM_table.csv.gz
2005	Gene expression data from the HCT-116 colon cancer cell line in the presence or absence of siRNA targeting APC	GPL9115	3	GSE99263	200099263	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99263/suppl/GSE99263_RNA-seq_RPKM_HCT-116_siAPC_vs_untreated_cuffDiff.txt.gz
2006	Dual inhibition of HDMX and HDM2 as a Therapeutic Strategy in Leukemia	GPL16791	6	GSE99255	200099255	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99255/suppl/GSE99255_M13_6924_vs_Vehicle_p0.05_results.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99255/suppl/GSE99255_rlog_expression.txt.gz
2007	RNA transcriptome sequencing analysis of AGS cells transfected with MFAP2 shRNA or control shRNA	GPL11154	4	GSE114796	200114796	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114796/suppl/GSE114796_Gene_expression_data.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114796/suppl/GSE114796_Trans_expression_data.txt.gz
2011	Comparison of rectal patient data separated by their event of developing distant metastasis [RNA-Seq]	GPL11154	10	GSE99897	200099897	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99897/suppl/GSE99897_expected_counts_RC_data.csv.gz
2014	Transcriptomic Differences Associated with TSC2 Gene Expression Loss in Lymphangioleiomyomatosis [human cells]	GPL16791	6	GSE84476	200084476	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84476/suppl/GSE84476_VKMJ-STAT3_fold_changes.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84476/suppl/GSE84476_VKMJ-STAT3_kallisto_abundance.txt.gz
2015	Genes regulated by soluble guanylyl cyclase in VCaP prostate cancer cells	GPL11154	16	GSE114738	200114738	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114738/suppl/GSE114738_RNASEQ_VCaP_VEH_ODQ.csv.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114738/suppl/GSE114738_RNASEQ_VCaP_siNTC_siGUCY1A1_siGUCY1B1.csv.gz
2018	Transcriptomic data of MDA-MB-231 cells adapted to culture in media containing different sugars (glucose or fructose) and cultured as mammospheres	GPL18573	2	GSE106202	200106202	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106202/suppl/GSE106202_FRUCTOSE_GLUCOSE_merge.DGE.txt.gz
2024	Gastrointestinal Stromal Tumor Enhancers Support a Transcription Factor Network Predictive of Clinical Outcome	GPL18573	20	GSE95863	200095863	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95863/suppl/GSE95863_GIST_Tumors_PG27_Cells_FPKM.txt.gz
2025	Comprehensive profiling of translation initiation in influenza-virus infected cells	GPL16791	12	GSE114636	200114636	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114636/suppl/GSE114636_called_flu_tis.tsv.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114636/suppl/GSE114636_called_host_tis.tsv.gz
2027	RNA sequencing of prostate cancer and normal tissue from African Americans and European Americans	GPL16791	32	GSE104131	200104131	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104131/suppl/GSE104131_RNAseq_PCa_Sig05Genes.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104131/suppl/GSE104131_batch1.cufflinks.fpkms_tracking.TableFormatted.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104131/suppl/GSE104131_batch2.cufflinks.fpkms_tracking.TableFormatted.txt.gz
2028	Conservative alteration of chromosomal expression pattern across human solid tumor types	GPL11154	6	GSE99048	200099048	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99048/suppl/GSE99048_shxist_exp_raw_count_file.txt.gz
2029	Modulation of SF3B1 causes global intron retention and downregulation of the B-cell receptor pathway in chronic lymphocytic leukemia	GPL16791	8	GSE114514	200114514	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114514/suppl/GSE114514_processed_data.txt.gz
