1002	Separation of breast cancer and organ microenvironment transcriptomes in metastases	GPL17021 GPL22245	128	GSE118942	200118942	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118942/suppl/GSE118942_TPM_human_AllGenes_AllPDX.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118942/suppl/GSE118942_TPM_mouse_AllGenes_AllPDX.txt.gz
1005	Preclinical model of obesity and ER-positive breast cancer	GPL16791	15	GSE110644	200110644	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110644/suppl/GSE110644_hsa_counts.tsv.gz
1010	A Suv39H1-low chromatin state drives migratory cell populations in cervical cancer [RNA-Seq]	GPL15433	6	GSE103792	200103792	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103792/suppl/GSE103792_RNA_Seq_high_expression_genes_list.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103792/suppl/GSE103792_RNA_Seq_low_expression_genes_list.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103792/suppl/GSE103792_RNA_Seq_mig_non_mig_genes.read_group_tracking.txt.gz
1011	Macrophage polarization controlled by fibroblast crosstalk and targeted by medications in rheumatoid arthritis	GPL20301 GPL16791	74	GSE95588	200095588	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95588/suppl/GSE95588_coculture_htseq_counts.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95588/suppl/GSE95588_d1d2d3d4_counts.txt.gz
1012	A novel Menin-MLL inhibitor induces specific chromatin changes and eradicates disease in models of MLL-rearranged leukemia	GPL11154	224	GSE127298	200127298	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127298/suppl/GSE127298_SmartSeq2_PDX_VTP50469_Control_featurecount_normalisedcounts.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127298/suppl/GSE127298_SmartSeq2_PDX_VTP50469_Control_featurecount_rawcounts.txt.gz
1013	Differently expressed gene analysis in HeLa cells expressing high levels of phosphorylated PCNA	GPL20301	4	GSE127276	200127276	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127276/suppl/GSE127276_fpkm.txt.gz
1015	Spontaneously slow-cycling subpopulations of human cells originate from activation of stress response pathways	GPL18573	40	GSE122927	200122927	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122927/suppl/GSE122927_ReadCount.txt.gz
1016	Human lineage tracing enabled by mitochondrial mutations and single cell genomics [CRC_ATAC]	GPL18573	3	GSE122583	200122583	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122583/suppl/GSE122583_CRC-atac-heteroplasmy.tsv.gz
1017	Human lineage tracing enabled by mitochondrial mutations and single cell genomics [CRC_scRNA]	GPL18573	272	GSE122582	200122582	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122582/suppl/GSE122582_scRNAseq_CRC_mito.txt.gz
1020	GREB1 amplifies androgen receptor output in prostate cancer and contributes to antiandrogen resistance	GPL16791	16	GSE120720	200120720	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120720/suppl/GSE120720_GEO_RNA-seq_RPKM.txt.gz
1022	New and subgroup-specific miRNAs and miRNA-offset RNA unraveled by RNA-sequencing in multiple myeloma [miRNA-Seq]	GPL11154	30	GSE117365	200117365	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117365/suppl/GSE117365_raw_data.txt.gz ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117365/suppl/GSE117365_raw_variants.txt.gz
